Year,President,Party, OrigTotalDebt , OrigNewDebt ,TotalDebtBillions,NewDebtBillions,InflationMultiple,TotalDebtInflationAdj,NewDebtInflationAdj,NewDebtPct,PreviousRUnscaled,PreviousDUnscaled,UnscaledCalcTotalDebt,NewDebtScaled,PreviousRScaledOrig,PreviousDScaledOrig,NewPres,NDResponsbileParty,PreviousRScaledFinal,PreviouDScaledFinal,,,,
2001,Bush II,R," $5,807,463,412,200 "," $133,285,202,313 ",5807,133,"1,65",9597,220,"0,0235",9835,6584,16639,142,6369,4264,Y,D,7506,3126,,10632,10632,0
2002,Bush II,R," $6,228,235,965,597 "," $420,772,553,397 ",6228,421,"1,63",10132,685,"0,0725",10055,6584,17324,444,6511,4264,N,R,7506,3269,,10775,10775,0
2003,Bush II,R," $6,783,231,062,744 "," $554,995,097,146 ",6783,555,"1,59",10789,883,"0,0891",10740,6584,18207,572,6955,4264,N,R,7950,3269,,11218,11218,0
2004,Bush II,R," $7,379,052,696,330 "," $595,821,633,587 ",7379,596,"1,55",11432,923,"0,0878",11623,6584,19130,598,7527,4264,N,R,8521,3269,,11790,11790,0
2005,Bush II,R," $7,932,709,661,724 "," $553,656,965,393 ",7933,554,"1,5",11887,830,"0,075",12546,6584,19960,537,8124,4264,N,R,9119,3269,,12388,12388,0
2006,Bush II,R," $8,506,973,899,215 "," $574,264,237,492 ",8507,574,"1,45",12349,834,"0,0724",13376,6584,20794,540,8662,4264,N,R,9656,3269,,12925,12925,0
2007,Bush II,R," $9,007,653,372,262 "," $500,679,473,047 ",9008,501,"1,41",12714,707,"0,0589",14210,6584,21501,458,9202,4264,N,R,10197,3269,,13465,13465,0
2008,Bush II,R," $10,024,724,896,912 "," $1,017,071,524,650 ",10025,1017,"1,36",13627,1382,"0,1129",14917,6584,22883,895,9660,4264,N,R,10654,3269,,13923,13923,0
2009,Obama,D," $11,909,829,003,512 "," $1,885,104,106,599 ",11910,1885,"1,36",16247,2572,"0,188",14917,7966,25455,1666,9660,5159,Y,R,11549,3269,,14818,14818,0
2010,Obama,D," $13,561,623,030,892 "," $1,651,794,027,380 ",13562,1652,"1,34",18201,2217,"0,1387",14917,10538,27672,1436,9660,6824,N,D,13215,3269,,16484,16484,0
2011,Obama,D," $14,790,340,328,557 "," $1,228,717,297,665 ",14790,1229,"1,3",19243,1599,"0,0906",14917,12755,29271,1035,9660,8260,N,D,13215,4705,,17919,17919,0
2012,Obama,D," $16,066,241,407,386 "," $1,275,901,078,829 ",16066,1276,"1,27",20479,1626,"0,0863",14917,14354,30897,1053,9660,9295,N,D,13215,5740,,18955,18955,0
2013,Obama,D," $16,738,183,526,697 "," $671,942,119,312 ",16738,672,"1,26",21028,844,"0,0418",14917,15980,31741,547,9660,10348,N,D,13215,6793,,20008,20008,0
2014,Obama,D," $17,824,071,380,734 "," $1,085,887,854,037 ",17824,1086,"1,24",22035,1342,"0,0649",14917,16824,33083,869,9660,10895,N,D,13215,7340,,20554,20554,0
2015,Obama,D," $18,150,617,666,484 "," $326,546,285,751 ",18151,327,"1,23",22411,403,"0,0183",14917,18166,33486,261,9660,11764,N,D,13215,8209,,21423,21423,0
2016,Obama,D," $19,573,444,713,937 "," $1,422,827,047,452 ",19573,1423,"1,22",23867,1735,"0,0784",14917,18569,35221,1124,9660,12025,N,D,13215,8470,,21684,21684,0
2017,Trump,R," $20,244,900,016,054 "," $671,455,302,117 ",20245,671,"1,19",24171,802,"0,0343",16652,18569,36023,519,10783,12025,Y,D,13215,9593,,22808,22808,0
2018,Trump,R," $21,516,058,183,180 "," $1,271,158,167,127 ",21516,1271,"1,16",25064,1481,"0,0628",17454,18569,37504,959,11303,12025,N,R,13215,10112,,23327,23327,0
2019,Trump,R," $22,719,401,753,434 "," $1,203,343,570,254 ",22719,1203,"1,14",26007,1377,"0,0559",18935,18569,38881,892,12262,12025,N,R,14174,10112,,24286,24286,0
2020,Trump,R," $26,945,391,194,615 "," $4,225,989,441,181 ",26945,4226,"1,13",30469,4779,"0,186",20312,18569,43660,3095,13153,12025,N,R,15066,10112,,25178,25178,0
2021,Biden,D," $28,428,918,570,049 "," $1,483,527,375,434 ",28429,1484,"1,08",30704,1602,"0,0551",20312,23348,45262,1037,13153,15119,Y,R,18160,10112,,28273,28273,0
2022,Biden,D," $30,928,911,613,307 "," $2,499,993,043,258 ",30929,2500,1,30929,2500,"0,0879",20312,24950,47762,1619,13153,16157,N,D,19198,10112,,29310,29310,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5983,19198,11731,,,,
,,,,,,,,,,,,,,,,,,30929,31,22,,,,
,,,,,,,,,,,,,,,,,,0.193443047,619.2810413,533.2403508,,,,
,,,,,,,,,,,,,,,,,,,0.537327156,0.462672844,,,,
